Lateral Profiles,,,,,,,,,,,,,,,,,,,,
Wedge 45,,,,,,,,,,,,,,,,,,,,
SSD=100cm,,,,,,,,,,,,,,,,,,,,
Scanning direction: Crossline,,,,,,,,,,,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,,,,,,,,,,,
,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,
Off axis position [cm],Depth:1.5 cm FieldSize:4x4 cm2,Depth:1.5 cm FieldSize:10x10 cm2,Depth:1.5 cm FieldSize:20x20 cm2,Depth:1.5 cm FieldSize:40x20 cm2,Depth:5 cm FieldSize:4x4 cm2,Depth:5 cm FieldSize:10x10 cm2,Depth:5 cm FieldSize:20x20 cm2,Depth:5 cm FieldSize:40x20 cm2,Depth:10 cm FieldSize:4x4 cm2,Depth:10 cm FieldSize:10x10 cm2,Depth:10 cm FieldSize:20x20 cm2,Depth:10 cm FieldSize:40x20 cm2,Depth:20 cm FieldSize:4x4 cm2,Depth:20 cm FieldSize:10x10 cm2,Depth:20 cm FieldSize:20x20 cm2,Depth:20 cm FieldSize:40x20 cm2,Depth:30 cm FieldSize:4x4 cm2,Depth:30 cm FieldSize:10x10 cm2,Depth:30 cm FieldSize:20x20 cm2,Depth:30 cm FieldSize:40x20 cm2
-5.3,1.3,33.1,127.1,125.9,1.6,56.66415,125.16,124.05,2.4,87.2,122.26,121.06,4.05,107.2,117.75733333333334,116.53333333333333,5.5,107.6,114.2,113.25
-5.2,1.4,46.5,126.44999999999999,125.16,1.7,70.4176,124.57142857142857,123.549,2.5,96.63333333333334,121.9,120.6,4.2,108.125,117.383,116.2,5.7,107.77499999999999,113.92500000000001,113.125
-5.1,1.4,61,125.8,124.6,1.7,84.121,123.9,122.949,2.6,103.5,121.38000000000001,120.17999999999999,4.2,108.775,117.07300000000001,115.78333333333333,5.8,107.93333333333334,113.64,112.8
-5,1.4,76.63333333333334,125.14,124,1.8,95.824,123.43333333333334,122.499,2.7,107.9,120.94999999999999,119.67999999999999,4.4,109.2,116.748,115.6,5.9,108,113.27499999999999,112.6
-4.9,1.5,90,124.56,123.4,1.8,104.076,123,121.899,2.7,109.89999999999999,120.4,119.32000000000001,4.45,109.4,116.273,115.23333333333333,6.05,108,113.05,112.42500000000001
-4.8,1.5,101.63333333333334,124,122.7,1.9,109.4775,122.3,121.3082,2.8,111.3,119.975,118.82000000000001,4.7,109.5,115.98966666666666,114.98,6.2,108,112.83333333333333,112.07499999999999
-4.7,1.5,109.8,123.26,122.19999999999999,1.9,112.628,121.825,120.748,2.9,111.97500000000001,119.46000000000001,118.32000000000001,4.8,109.5,115.723,114.6,6.4,108.1,112.625,111.9
-4.6,1.6,114.25999999999999,122.66,121.67999999999999,2,114.329,121.22,120.248,3,112.5,118.83333333333334,117.92,4.95,109.5,115.223,114.33333333333334,6.6,108.1,112.28,111.63333333333333
-4.5,1.6,116.55000000000001,122.14,121.12,2.05,115.129,120.67999999999999,119.668,3.1,112.7,118.38,117.48571428571428,5.1,109.6,114.848,114,6.65,108.1,112,111.43333333333334
-4.4,1.6,117.6,121.4,120.53333333333333,2.1500000000000004,115.429,120.05000000000001,119.048,3.2,112.8,117.86666666666666,117.15,5.25,109.5,114.523,113.66666666666666,6.8,108.1,111.9,111.18
